hour,day_of_week,is_weekend,time_since_last,event,events_last_hour,events_last_30min
8,0,0,0.13333333333333333,1,23.0,23.0
8,0,0,0.05,1,24.0,24.0
8,0,0,1.7166666666666666,1,25.0,25.0
8,0,0,4.116666666666666,1,26.0,26.0
8,0,0,0.06666666666666667,1,27.0,27.0
8,0,0,0.06666666666666667,1,28.0,28.0
8,0,0,5.316666666666666,1,29.0,29.0
8,0,0,0.08333333333333333,1,30.0,30.0
8,0,0,0.05,1,31.0,31.0
8,0,0,9.033333333333333,1,32.0,32.0
8,0,0,0.05,1,33.0,33.0
8,0,0,0.06666666666666667,1,34.0,34.0
8,0,0,0.06666666666666667,1,35.0,35.0
8,0,0,2.9,1,36.0,36.0
8,0,0,0.05,1,37.0,37.0
8,0,0,0.06666666666666667,1,38.0,38.0
8,0,0,0.08333333333333333,1,39.0,39.0
8,0,0,0.05,1,40.0,40.0
8,0,0,0.06666666666666667,1,41.0,41.0
8,0,0,0.06666666666666667,1,42.0,42.0
8,0,0,0.05,1,43.0,43.0
8,0,0,0.1,1,44.0,44.0
8,0,0,0.08333333333333333,1,45.0,45.0
8,0,0,0.06666666666666667,1,46.0,46.0
8,0,0,0.05,1,47.0,47.0
8,0,0,0.08333333333333333,1,48.0,48.0
8,0,0,0.05,1,49.0,49.0
8,0,0,0.06666666666666667,1,50.0,50.0
8,0,0,1.2,1,51.0,47.0
8,0,0,0.06666666666666667,1,52.0,48.0
8,0,0,0.08333333333333333,1,53.0,49.0
8,0,0,0.5666666666666667,1,54.0,50.0
8,0,0,0.06666666666666667,1,55.0,51.0
8,0,0,0.05,1,56.0,52.0
9,0,0,4.466666666666667,1,57.0,33.0
9,0,0,0.05,1,58.0,34.0
9,0,0,0.06666666666666667,1,59.0,35.0
9,0,0,0.06666666666666667,1,60.0,36.0
9,0,0,0.06666666666666667,1,61.0,37.0
9,0,0,0.06666666666666667,1,62.0,38.0
9,0,0,0.11666666666666667,1,63.0,39.0
9,0,0,0.06666666666666667,1,64.0,40.0
9,0,0,0.11666666666666667,1,65.0,41.0
9,0,0,0.05,1,66.0,42.0
9,0,0,0.06666666666666667,1,67.0,43.0
9,0,0,0.1,1,68.0,43.0
9,0,0,0.05,1,69.0,44.0
9,0,0,0.06666666666666667,1,70.0,45.0
9,0,0,0.05,1,71.0,46.0
9,0,0,0.35,1,72.0,47.0
9,0,0,0.05,1,73.0,48.0
9,0,0,0.06666666666666667,1,74.0,49.0
9,0,0,0.06666666666666667,1,75.0,50.0
9,0,0,0.05,1,76.0,51.0
9,0,0,0.08333333333333333,1,77.0,52.0
9,0,0,0.06666666666666667,1,78.0,53.0
9,0,0,0.31666666666666665,1,79.0,54.0
9,0,0,0.08333333333333333,1,80.0,55.0
9,0,0,0.08333333333333333,1,81.0,56.0
9,0,0,0.43333333333333335,1,82.0,57.0
9,0,0,0.3,1,83.0,58.0
9,0,0,0.11666666666666667,1,84.0,59.0
9,0,0,0.38333333333333336,1,85.0,60.0
9,0,0,0.06666666666666667,1,86.0,61.0
9,0,0,0.06666666666666667,1,87.0,62.0
9,0,0,0.06666666666666667,1,88.0,63.0
9,0,0,0.06666666666666667,1,89.0,64.0
9,0,0,0.06666666666666667,1,90.0,65.0
9,0,0,0.06666666666666667,1,91.0,66.0
9,0,0,0.05,1,92.0,67.0
9,0,0,0.18333333333333332,1,93.0,68.0
9,0,0,0.06666666666666667,1,94.0,69.0
9,0,0,0.05,1,95.0,70.0
9,0,0,0.1,1,96.0,71.0
9,0,0,0.8166666666666667,1,97.0,69.0
9,0,0,0.06666666666666667,1,98.0,70.0
9,0,0,0.06666666666666667,1,99.0,71.0
9,0,0,0.06666666666666667,1,100.0,72.0
9,0,0,0.08333333333333333,1,101.0,73.0
9,0,0,0.06666666666666667,1,102.0,74.0
9,0,0,0.5666666666666667,1,103.0,75.0
9,0,0,0.06666666666666667,1,104.0,76.0
9,0,0,0.08333333333333333,1,105.0,77.0
9,0,0,1.6833333333333333,1,106.0,78.0
9,0,0,0.06666666666666667,1,107.0,79.0
9,0,0,11.016666666666667,1,108.0,77.0
9,0,0,0.05,1,109.0,78.0
9,0,0,8.4,1,100.0,54.0
9,0,0,0.05,1,101.0,55.0
9,0,0,0.08333333333333333,1,102.0,56.0
9,0,0,0.1,1,103.0,57.0
9,0,0,0.55,1,100.0,58.0
9,0,0,0.08333333333333333,1,101.0,59.0
9,0,0,0.13333333333333333,1,101.0,60.0
9,0,0,0.06666666666666667,1,101.0,61.0
9,0,0,3.066666666666667,1,93.0,43.0
9,0,0,0.06666666666666667,1,94.0,43.0
9,0,0,0.05,1,95.0,44.0
9,0,0,4.083333333333333,1,93.0,19.0
9,0,0,0.06666666666666667,1,94.0,20.0
9,0,0,0.13333333333333333,1,95.0,21.0
9,0,0,0.08333333333333333,1,96.0,22.0
9,0,0,0.06666666666666667,1,97.0,22.0
9,0,0,2.7666666666666666,1,98.0,19.0
9,0,0,0.06666666666666667,1,99.0,20.0
9,0,0,0.05,1,100.0,21.0
9,0,0,0.06666666666666667,1,101.0,22.0
9,0,0,0.06666666666666667,1,102.0,23.0
9,0,0,0.06666666666666667,1,103.0,24.0
9,0,0,0.06666666666666667,1,104.0,25.0
9,0,0,0.06666666666666667,1,105.0,26.0
9,0,0,0.06666666666666667,1,106.0,27.0
9,0,0,0.26666666666666666,1,107.0,28.0
9,0,0,0.05,1,108.0,29.0
9,0,0,0.06666666666666667,1,109.0,30.0
9,0,0,4.166666666666667,1,107.0,31.0
9,0,0,0.05,1,108.0,32.0
9,0,0,0.08333333333333333,1,109.0,33.0
9,0,0,3.433333333333333,1,110.0,34.0
9,0,0,0.08333333333333333,1,111.0,35.0
9,0,0,1.7,1,112.0,34.0
9,0,0,0.06666666666666667,1,113.0,35.0
9,0,0,0.06666666666666667,1,114.0,36.0
9,0,0,0.08333333333333333,1,114.0,37.0
9,0,0,0.06666666666666667,1,114.0,38.0
9,0,0,0.05,1,114.0,39.0
9,0,0,0.08333333333333333,1,114.0,40.0
