hour,day_of_week,is_weekend,time_since_last,events_last_hour,avg_interval_last_hour,minutes_until_next
20,2,0,18.983333333333334,1.0,18.983333333333334,0.06666666666666667
20,2,0,0.06666666666666667,2.0,9.525,0.06666666666666667
20,2,0,0.06666666666666667,3.0,6.372222222222223,0.06666666666666667
20,2,0,0.06666666666666667,4.0,4.795833333333333,0.08333333333333333
20,2,0,0.08333333333333333,5.0,3.853333333333334,0.0
20,2,0,0.0,6.0,3.2111111111111117,0.0
20,2,0,0.0,7.0,2.752380952380953,0.13333333333333333
20,2,0,0.13333333333333333,8.0,2.4250000000000003,0.016666666666666666
20,2,0,0.016666666666666666,9.0,2.1574074074074074,0.016666666666666666
20,2,0,0.016666666666666666,10.0,1.9433333333333334,0.8666666666666667
20,2,0,0.8666666666666667,11.0,1.8454545454545455,2.7
21,2,0,2.7,12.0,1.9166666666666667,0.0
21,2,0,0.0,13.0,1.7692307692307692,1.3333333333333333
21,2,0,1.3333333333333333,14.0,1.7380952380952384,0.11666666666666667
21,2,0,0.11666666666666667,15.0,1.63,0.0
21,2,0,0.0,16.0,1.528125,0.016666666666666666
21,2,0,0.016666666666666666,17.0,1.43921568627451,0.016666666666666666
21,2,0,0.016666666666666666,18.0,1.3601851851851852,0.0
21,2,0,0.0,19.0,1.2885964912280703,0.0
21,2,0,0.0,20.0,1.2241666666666666,0.0
21,2,0,0.0,21.0,1.165873015873016,0.0
21,2,0,0.0,22.0,1.112878787878788,0.0
21,2,0,0.0,23.0,1.0644927536231885,0.0
21,2,0,0.0,24.0,1.020138888888889,0.0
21,2,0,0.0,25.0,0.9793333333333334,0.3
21,2,0,0.3,26.0,0.9532051282051283,0.18333333333333332
21,2,0,0.18333333333333332,27.0,0.9246913580246914,0.26666666666666666
21,2,0,0.26666666666666666,28.0,0.9011904761904762,0.8166666666666667
21,2,0,0.8166666666666667,29.0,0.8982758620689656,0.05
21,2,0,0.05,30.0,0.87,0.08333333333333333
21,2,0,0.08333333333333333,31.0,0.8446236559139785,0.06666666666666667
21,2,0,0.06666666666666667,32.0,0.8203125,0.06666666666666667
21,2,0,0.06666666666666667,33.0,0.7974747474747474,0.1
21,2,0,0.1,34.0,0.7769607843137255,0.05
21,2,0,0.05,35.0,0.7561904761904762,0.08333333333333333
21,2,0,0.08333333333333333,36.0,0.7375,0.35
21,2,0,0.35,37.0,0.727027027027027,2.283333333333333
21,2,0,2.283333333333333,38.0,0.7679824561403509,0.016666666666666666
21,2,0,0.016666666666666666,39.0,0.7487179487179487,0.6166666666666667
21,2,0,0.6166666666666667,40.0,0.7454166666666666,0.06666666666666667
21,2,0,0.06666666666666667,41.0,0.7288617886178862,0.06666666666666667
21,2,0,0.06666666666666667,42.0,0.7130952380952381,0.13333333333333333
21,2,0,0.13333333333333333,43.0,0.6996124031007752,0.13333333333333333
21,2,0,0.13333333333333333,44.0,0.6867424242424243,0.1
21,2,0,0.1,45.0,0.6737037037037037,0.3
21,2,0,0.3,46.0,0.6655797101449276,0.13333333333333333
21,2,0,0.13333333333333333,47.0,0.6542553191489362,0.1
21,2,0,0.1,48.0,0.6427083333333333,0.08333333333333333
21,2,0,0.08333333333333333,49.0,0.6312925170068028,0.05
21,2,0,0.05,50.0,0.6196666666666667,0.5833333333333334
21,2,0,0.5833333333333334,51.0,0.6189542483660131,0.35
21,2,0,0.35,52.0,0.6137820512820513,0.08333333333333333
21,2,0,0.08333333333333333,53.0,0.6037735849056604,0.05
21,2,0,0.05,54.0,0.5935185185185186,0.1
21,2,0,0.1,55.0,0.5845454545454545,0.06666666666666667
21,2,0,0.06666666666666667,56.0,0.5752976190476191,0.06666666666666667
21,2,0,0.06666666666666667,57.0,0.566374269005848,0.1
21,2,0,0.1,58.0,0.5583333333333333,0.05
21,2,0,0.05,59.0,0.5497175141242938,0.1
21,2,0,0.1,60.0,0.5422222222222222,0.3
21,2,0,0.3,61.0,0.5382513661202186,0.21666666666666667
21,2,0,0.21666666666666667,62.0,0.5330645161290323,0.11666666666666667
21,2,0,0.11666666666666667,63.0,0.5264550264550264,0.06666666666666667
21,2,0,0.06666666666666667,64.0,0.5192708333333333,0.08333333333333333
21,2,0,0.08333333333333333,65.0,0.5125641025641026,0.06666666666666667
21,2,0,0.06666666666666667,66.0,0.5058080808080808,0.06666666666666667
21,2,0,0.06666666666666667,67.0,0.4992537313432836,0.11666666666666667
21,2,0,0.11666666666666667,68.0,0.4936274509803922,0.08333333333333333
21,2,0,0.08333333333333333,69.0,0.48768115942028983,0.08333333333333333
21,2,0,0.08333333333333333,70.0,0.4819047619047619,0.08333333333333333
21,2,0,0.08333333333333333,71.0,0.47629107981220664,0.06666666666666667
21,2,0,0.06666666666666667,72.0,0.4706018518518518,0.05
21,2,0,0.05,73.0,0.4648401826484019,0.06666666666666667
21,2,0,0.06666666666666667,74.0,0.4594594594594595,0.06666666666666667
21,2,0,0.06666666666666667,75.0,0.45422222222222225,0.06666666666666667
21,2,0,0.06666666666666667,76.0,0.44912280701754387,2.1666666666666665
21,2,0,2.1666666666666665,77.0,0.4714285714285714,2.216666666666667
21,2,0,2.216666666666667,78.0,0.49380341880341877,1.6333333333333333
21,2,0,1.6333333333333333,79.0,0.5082278481012658,2.533333333333333
21,2,0,2.533333333333333,80.0,0.5335416666666667,0.65
21,2,0,0.65,81.0,0.5349794238683128,0.7
21,2,0,0.7,82.0,0.5369918699186992,0.6833333333333333
21,2,0,0.6833333333333333,83.0,0.5387550200803213,0.4166666666666667
