hour,event_count
0,36
1,58
2,7
3,3
4,0
5,0
6,3
7,8
8,195
9,178
10,163
11,142
12,139
13,324
14,151
15,55
16,26
17,139
18,148
19,240
20,197
21,205
22,240
23,58
